Variable accession,Variable name,Variable description,Type,Dataset accession,Dataset name,Study,Database
phv00153332,R_a_slp,RIGHT LUNG: THE SLOPE OF THE LINE AT THE ANKLE,Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153333,R_a_int,RIGHT LUNG: THE INTERCEPT OF THE LINE AT THE ANKLE,Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153334,R_knee,RIGHT LUNG: ON A PLOT OF NUMBER OF VOXELS VERSUS HU THIS IS THE HU WHERE THE 2ND DERIVATIVE IS MOST NEGATIVE (2ND INFLECTION POINT),Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153335,R_k_slp,RIGHT LUNG: THE SLOPE OF THE LINE AT THE KNEE,Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153336,R_k_int,RIGHT LUNG: THE INTERCEPT OF THE LINE AT THE KNEE,Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153337,R_c_cutoff_hu,RIGHT LUNG: DEFINITION OF EMPHYSEMA CUTOFF VALUE (HU) VALUES LESS THAN THIS ARE CONSIDERED EMPHYSEMA,Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153338,R_c_v_m,RIGHT LUNG: MEAN LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS,Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153339,R_c_v_sd,RIGHT LUNG: STANDARD DEVIATION OF THE LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS,Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153340,R_c_v_x_m,RIGHT LUNG: THE X COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS,Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153341,R_c_v_x_sd,RIGHT LUNG: THE X COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS,Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153342,R_c_v_y_m,RIGHT LUNG: THE Y COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS,Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153343,R_c_v_y_sd,RIGHT LUNG: THE Y COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS,Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153344,R_c_v_z_m,RIGHT LUNG: THE Z COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS,Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153345,R_c_v_z_sd,RIGHT LUNG: THE Z COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS,Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153346,R_hu10,RIGHT LUNG: VALUE OF THE PIXEL THAT IS AT THE 10TH PERCENTILE OF PIXEL VALUES,Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153347,R_hu15,RIGHT LUNG: VALUE OF THE PIXEL THAT IS AT THE 15TH PERCENTILE OF PIXEL VALUES,Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153348,R_hu20,RIGHT LUNG: VALUE OF THE PIXEL THAT IS AT THE 20TH PERCENTILE OF PIXEL VALUES,Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153349,RC_tot_vx,"RIGHT LUNG, CORE: TOTAL NUMBER OF VOXELS IN LUNG REGION",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153350,RC_be_960,"RIGHT LUNG, CORE: NUMBER VOXELS BELOW OR EQUAL TO -960 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153351,RC_be_950,"RIGHT LUNG, CORE: NUMBER VOXELS BELOW OR EQUAL TO -950 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153352,RC_be_940,"RIGHT LUNG, CORE: NUMBER VOXELS BELOW OR EQUAL TO -940 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153353,RC_be_930,"RIGHT LUNG, CORE: NUMBER VOXELS BELOW OR EQUAL TO -930 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153354,RC_be_920,"RIGHT LUNG, CORE: NUMBER VOXELS BELOW OR EQUAL TO -920 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153355,RC_be_910,"RIGHT LUNG, CORE: NUMBER VOXELS BELOW OR EQUAL TO -910 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153356,RC_be_900,"RIGHT LUNG, CORE: NUMBER VOXELS BELOW OR EQUAL TO -900 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153357,RC_be_890,"RIGHT LUNG, CORE: NUMBER VOXELS BELOW OR EQUAL TO -890 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153358,RC_be_870,"RIGHT LUNG, CORE: NUMBER VOXELS BELOW OR EQUAL TO -870 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153359,RC_be_850,"RIGHT LUNG, CORE: NUMBER VOXELS BELOW OR EQUAL TO -850 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153360,RC_be_830,"RIGHT LUNG, CORE: NUMBER VOXELS BELOW OR EQUAL TO -830 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153361,RC_be_810,"RIGHT LUNG, CORE: NUMBER VOXELS BELOW OR EQUAL TO -810 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153362,RC_be_660,"RIGHT LUNG, CORE: NUMBER VOXELS BELOW OR EQUAL TO -660 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153363,RC_be_640,"RIGHT LUNG, CORE: NUMBER VOXELS BELOW OR EQUAL TO -640 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153364,RC_be_620,"RIGHT LUNG, CORE: NUMBER VOXELS BELOW OR EQUAL TO -620 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153365,RC_be_600,"RIGHT LUNG, CORE: NUMBER VOXELS BELOW OR EQUAL TO -600 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153366,RC_ae_50,"RIGHT LUNG, CORE: NUMBER VOXELS ABOVE OR EQUAL TO -50 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153367,RC_ae_100,"RIGHT LUNG, CORE: NUMBER VOXELS ABOVE OR EQUAL TO -100 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153368,RC_ae_150,"RIGHT LUNG, CORE: NUMBER VOXELS ABOVE OR EQUAL TO -150 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153369,RC_ae_200,"RIGHT LUNG, CORE: NUMBER VOXELS ABOVE OR EQUAL TO -200 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153370,RC_ae_250,"RIGHT LUNG, CORE: NUMBER VOXELS ABOVE OR EQUAL TO -250 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153371,RC_mean,"RIGHT LUNG, CORE: AVERAGE PIXEL VALUES WITHIN LUNG REGION (HU)",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153372,RC_med,"RIGHT LUNG, CORE: MEDIAN PIXEL VALUES WITHIN LUNG REGION (HU)",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153373,RC_var,"RIGHT LUNG, CORE: VARIANCE OF PIXEL VALUES WITHIN LUNG REGION",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153374,RC_sd,"RIGHT LUNG, CORE: STANDARD DEVIATION OF PIXEL VALUES WITHIN LUNG REGION",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153375,RC_skew,"RIGHT LUNG, CORE: SKEWNESS OF PIXEL VALUES IN THIS LUNG REGION",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153376,RC_kurt,"RIGHT LUNG, CORE: KURTOSIS OF PIXEL VALUES IN THIS LUNG REGION",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153377,RC_fwhm,"RIGHT LUNG, CORE: FULL WIDTH, HALF MAX (HU)",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153378,RC_air_v,"RIGHT LUNG, CORE: TOTAL VOLUME OF AIR IN THIS LUNG REGION (ml)",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153379,RC_tis_v,"RIGHT LUNG, CORE: TOTAL VOLUME OF TISSUE IN THIS LUNG REGION (ml)",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153380,RC_tot_v,"RIGHT LUNG, CORE: TOTAL VOLUME OF THIS LUNG REGION (ml)",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153381,RC_ankl,"RIGHT LUNG, CORE: ON A PLOT OF NUMBER OF VOXELS VERSUS HU THIS IS THE HU WHERE THE 2ND DERIVATIVE IS MOST POSITIVE (1ST INFLECTION POINT)",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153382,RC_a_slp,"RIGHT LUNG, CORE: THE SLOPE OF THE LINE AT THE ANKLE",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153383,RC_a_int,"RIGHT LUNG, CORE: THE INTERCEPT OF THE LINE AT THE ANKLE",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153384,RC_knee,"RIGHT LUNG, CORE: ON A PLOT OF NUMBER OF VOXELS VERSUS HU THIS IS THE HU WHERE THE 2ND DERIVATIVE IS MOST NEGATIVE (2ND INFLECTION POINT)",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153385,RC_k_slp,"RIGHT LUNG, CORE: THE SLOPE OF THE LINE AT THE KNEE",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153386,RC_k_int,"RIGHT LUNG, CORE: THE INTERCEPT OF THE LINE AT THE KNEE",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153387,RC_c_cutoff_hu,"RIGHT LUNG, CORE: DEFINITION OF EMPHYSEMA CUTOFF VALUE (HU) VALUES LESS THAN THIS ARE CONSIDERED EMPHYSEMA",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153388,RC_c_v_m,"RIGHT LUNG, CORE: MEAN LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153389,RC_c_v_sd,"RIGHT LUNG, CORE: STANDARD DEVIATION OF THE LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153390,RC_c_v_x_m,"RIGHT LUNG, CORE: THE X COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153391,RC_c_v_x_sd,"RIGHT LUNG, CORE: THE X COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153392,RC_c_v_y_m,"RIGHT LUNG, CORE: THE Y COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153393,RC_c_v_y_sd,"RIGHT LUNG, CORE: THE Y COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153394,RC_c_v_z_m,"RIGHT LUNG, CORE: THE Z COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153395,RC_c_v_z_sd,"RIGHT LUNG, CORE: THE Z COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153396,RC_hu10,"RIGHT LUNG, CORE: VALUE OF THE PIXEL THAT IS AT THE 10TH PERCENTILE OF PIXEL VALUES",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153397,RC_hu15,"RIGHT LUNG, CORE: VALUE OF THE PIXEL THAT IS AT THE 15TH PERCENTILE OF PIXEL VALUES",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153398,RC_hu20,"RIGHT LUNG, CORE: VALUE OF THE PIXEL THAT IS AT THE 20TH PERCENTILE OF PIXEL VALUES",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153399,RL_tot_vx,"RIGHT LUNG, LOWER: TOTAL NUMBER OF VOXELS IN LUNG REGION",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153400,RL_be_960,"RIGHT LUNG, LOWER: NUMBER VOXELS BELOW OR EQUAL TO -960 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153401,RL_be_950,"RIGHT LUNG, LOWER: NUMBER VOXELS BELOW OR EQUAL TO -950 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153402,RL_be_940,"RIGHT LUNG, LOWER: NUMBER VOXELS BELOW OR EQUAL TO -940 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153403,RL_be_930,"RIGHT LUNG, LOWER: NUMBER VOXELS BELOW OR EQUAL TO -930 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153404,RL_be_920,"RIGHT LUNG, LOWER: NUMBER VOXELS BELOW OR EQUAL TO -920 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153405,RL_be_910,"RIGHT LUNG, LOWER: NUMBER VOXELS BELOW OR EQUAL TO -910 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153406,RL_be_900,"RIGHT LUNG, LOWER: NUMBER VOXELS BELOW OR EQUAL TO -900 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153407,RL_be_890,"RIGHT LUNG, LOWER: NUMBER VOXELS BELOW OR EQUAL TO -890 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153408,RL_be_870,"RIGHT LUNG, LOWER: NUMBER VOXELS BELOW OR EQUAL TO -870 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153409,RL_be_850,"RIGHT LUNG, LOWER: NUMBER VOXELS BELOW OR EQUAL TO -850 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153410,RL_be_830,"RIGHT LUNG, LOWER: NUMBER VOXELS BELOW OR EQUAL TO -830 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153411,RL_be_810,"RIGHT LUNG, LOWER: NUMBER VOXELS BELOW OR EQUAL TO -810 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153412,RL_be_660,"RIGHT LUNG, LOWER: NUMBER VOXELS BELOW OR EQUAL TO -660 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153413,RL_be_640,"RIGHT LUNG, LOWER: NUMBER VOXELS BELOW OR EQUAL TO -640 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153414,RL_be_620,"RIGHT LUNG, LOWER: NUMBER VOXELS BELOW OR EQUAL TO -620 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153415,RL_be_600,"RIGHT LUNG, LOWER: NUMBER VOXELS BELOW OR EQUAL TO -600 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153416,RL_ae_50,"RIGHT LUNG, LOWER: NUMBER VOXELS ABOVE OR EQUAL TO -50 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153417,RL_ae_100,"RIGHT LUNG, LOWER: NUMBER VOXELS ABOVE OR EQUAL TO -100 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153418,RL_ae_150,"RIGHT LUNG, LOWER: NUMBER VOXELS ABOVE OR EQUAL TO -150 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153419,RL_ae_200,"RIGHT LUNG, LOWER: NUMBER VOXELS ABOVE OR EQUAL TO -200 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153420,RL_ae_250,"RIGHT LUNG, LOWER: NUMBER VOXELS ABOVE OR EQUAL TO -250 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153421,RL_mean,"RIGHT LUNG, LOWER: AVERAGE PIXEL VALUES WITHIN LUNG REGION (HU)",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153422,RL_med,"RIGHT LUNG, LOWER: MEDIAN PIXEL VALUES WITHIN LUNG REGION (HU)",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153423,RL_var,"RIGHT LUNG, LOWER: VARIANCE OF PIXEL VALUES WITHIN LUNG REGION",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153424,RL_sd,"RIGHT LUNG, LOWER: STANDARD DEVIATION OF PIXEL VALUES WITHIN LUNG REGION",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153425,RL_skew,"RIGHT LUNG, LOWER: SKEWNESS OF PIXEL VALUES IN THIS LUNG REGION",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153426,RL_kurt,"RIGHT LUNG, LOWER: KURTOSIS OF PIXEL VALUES IN THIS LUNG REGION",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153427,RL_fwhm,"RIGHT LUNG, LOWER: FULL WIDTH, HALF MAX (HU)",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153428,RL_air_v,"RIGHT LUNG, LOWER: TOTAL VOLUME OF AIR IN THIS LUNG REGION (ml)",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153429,RL_tis_v,"RIGHT LUNG, LOWER: TOTAL VOLUME OF TISSUE IN THIS LUNG REGION (ml)",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153430,RL_tot_v,"RIGHT LUNG, LOWER: TOTAL VOLUME OF THIS LUNG REGION (ml)",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153431,RL_ankl,"RIGHT LUNG, LOWER: ON A PLOT OF NUMBER OF VOXELS VERSUS HU THIS IS THE HU WHERE THE 2ND DERIVATIVE IS MOST POSITIVE (1ST INFLECTION POINT)",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153432,RL_a_slp,"RIGHT LUNG, LOWER: THE SLOPE OF THE LINE AT THE ANKLE",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153433,RL_a_int,"RIGHT LUNG, LOWER: THE INTERCEPT OF THE LINE AT THE ANKLE",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153434,RL_knee,"RIGHT LUNG, LOWER: ON A PLOT OF NUMBER OF VOXELS VERSUS HU THIS IS THE HU WHERE THE 2ND DERIVATIVE IS MOST NEGATIVE (2ND INFLECTION POINT)",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153435,RL_k_slp,"RIGHT LUNG, LOWER: THE SLOPE OF THE LINE AT THE KNEE",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153436,RL_k_int,"RIGHT LUNG, LOWER: THE INTERCEPT OF THE LINE AT THE KNEE",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153437,RL_c_cutoff_hu,"RIGHT LUNG, LOWER: DEFINITION OF EMPHYSEMA CUTOFF VALUE (HU) VALUES LESS THAN THIS ARE CONSIDERED EMPHYSEMA",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153438,RL_c_v_m,"RIGHT LUNG, LOWER: MEAN LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153439,RL_c_v_sd,"RIGHT LUNG, LOWER: STANDARD DEVIATION OF THE LENGTH OF VECTORS DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153440,RL_c_v_x_m,"RIGHT LUNG, LOWER: THE X COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153441,RL_c_v_x_sd,"RIGHT LUNG, LOWER: THE X COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153442,RL_c_v_y_m,"RIGHT LUNG, LOWER: THE Y COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153443,RL_c_v_y_sd,"RIGHT LUNG, LOWER: THE Y COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153444,RL_c_v_z_m,"RIGHT LUNG, LOWER: THE Z COMPONENT OF THE MEAN VECTOR DRAWN FROM THE CENTROID OF THE REGION TO EMPHYSEMA VOXELS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153445,RL_c_v_z_sd,"RIGHT LUNG, LOWER: THE Z COMPONENT OF THE STANDARD DEVIATION OF THE VECTORS FROM THE CENTROID TO EMPHYSEMA VOXELS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153446,RL_hu10,"RIGHT LUNG, LOWER: VALUE OF THE PIXEL THAT IS AT THE 10TH PERCENTILE OF PIXEL VALUES",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153447,RL_hu15,"RIGHT LUNG, LOWER: VALUE OF THE PIXEL THAT IS AT THE 15TH PERCENTILE OF PIXEL VALUES",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153448,RL_hu20,"RIGHT LUNG, LOWER: VALUE OF THE PIXEL THAT IS AT THE 20TH PERCENTILE OF PIXEL VALUES",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153449,RLC_tot_vx,"RIGHT LUNG, LOWER CORE: TOTAL NUMBER OF VOXELS IN LUNG REGION",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153450,RLC_be_960,"RIGHT LUNG, LOWER CORE: NUMBER VOXELS BELOW OR EQUAL TO -960 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153451,RLC_be_950,"RIGHT LUNG, LOWER CORE: NUMBER VOXELS BELOW OR EQUAL TO -950 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153452,RLC_be_940,"RIGHT LUNG, LOWER CORE: NUMBER VOXELS BELOW OR EQUAL TO -940 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153453,RLC_be_930,"RIGHT LUNG, LOWER CORE: NUMBER VOXELS BELOW OR EQUAL TO -930 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153454,RLC_be_920,"RIGHT LUNG, LOWER CORE: NUMBER VOXELS BELOW OR EQUAL TO -920 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153455,RLC_be_910,"RIGHT LUNG, LOWER CORE: NUMBER VOXELS BELOW OR EQUAL TO -910 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153456,RLC_be_900,"RIGHT LUNG, LOWER CORE: NUMBER VOXELS BELOW OR EQUAL TO -900 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153457,RLC_be_890,"RIGHT LUNG, LOWER CORE: NUMBER VOXELS BELOW OR EQUAL TO -890 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153458,RLC_be_870,"RIGHT LUNG, LOWER CORE: NUMBER VOXELS BELOW OR EQUAL TO -870 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153459,RLC_be_850,"RIGHT LUNG, LOWER CORE: NUMBER VOXELS BELOW OR EQUAL TO -850 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153460,RLC_be_830,"RIGHT LUNG, LOWER CORE: NUMBER VOXELS BELOW OR EQUAL TO -830 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
phv00153461,RLC_be_810,"RIGHT LUNG, LOWER CORE: NUMBER VOXELS BELOW OR EQUAL TO -810 HOUNSFIELD UNITS",Numeric,pht002109,MESA_MesaFamily_LungCT,phs000209,mesa
